COD_VAR;LIB_VAR;COD_MOD;LIB_MOD1
AGECONJ1;Âge atteint dans l'année du conjoint 1;29;29 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;30;30 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;31;31 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;32;32 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;33;33 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;34;34 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;35;35 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;36;36 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;37;37 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;38;38 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;39;39 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;40;40 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;41;41 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;42;42 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;43;43 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;44;44 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;45;45 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;46;46 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;47;47 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;48;48 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;49;49 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;50;50 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;51;51 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;52;52 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;53;53 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;54;54 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;55;55 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;56;56 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;57;57 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;58;58 ans
AGECONJ1;Âge atteint dans l'année du conjoint 1;59;59 ans
